Index,Time,((Motor_DM_6220[0]).PID_Omega).Target,((Motor_DM_6220[0]).PID_Omega).Measure
31796,31.795862,0.40716961,0.46471405
31797,31.796868,0.399341702,0.470086098
31798,31.797861,0.391512781,0.475458145
31799,31.798867,0.383682907,0.475458145
31800,31.799860,0.375852108,0.475458145
31801,31.800865,0.368020356,0.480831146
31802,31.801859,0.36018765,0.475458145
31803,31.802864,0.352354109,0.470086098
31804,31.803861,0.344519734,0.46471405
31805,31.804867,0.336684465,0.453969002
31806,31.805866,0.328848362,0.437851906
31807,31.806864,0.321011484,0.432478905
31808,31.807857,0.313173771,0.42173481
31809,31.808863,0.305335283,0.410989761
31810,31.809856,0.297496051,0.394872665
31811,31.810862,0.289656103,0.384127617
31812,31.811856,0.281815439,0.362638474
31813,31.812861,0.273974061,0.346520424
31814,31.813857,0.266132027,0.325031281
31815,31.814863,0.258289307,0.303541183
31816,31.815880,0.250445962,0.28205204
31817,31.816866,0.242602021,0.265934944
31818,31.817865,0.234757483,0.244444847
31819,31.818859,0.226912335,0.233699799
31820,31.819866,0.21906665,0.222955704
31821,31.820860,0.211220413,0.212210655
31822,31.821867,0.203373656,0.196093559
31823,31.822853,0.195526406,0.190721512
31824,31.823871,0.187678665,0.179976463
31825,31.824857,0.179830462,0.169231415
31826,31.825864,0.171981812,0.163859367
31827,31.826866,0.164132744,0.153114319
31828,31.827866,0.156283259,0.14236927
31829,31.828860,0.148433417,0.126252174
31830,31.829867,0.140583187,0.115507126
31831,31.830861,0.132732615,0.0993900299
31832,31.831867,0.124881715,0.0886449814
31833,31.832854,0.117030501,0.083272934
31834,31.833871,0.109179005,0.0779008865
31835,31.834857,0.101327233,0.0779008865
31836,31.835864,0.0934752151,0.0779008865
31837,31.836905,0.0856229737,0.0779008865
31838,31.837860,0.0777705163,0.0779008865
31839,31.838867,0.0699178651,0.0725278854
31840,31.839854,0.0620650426,0.0725278854
31841,31.840868,0.0542120636,0.067155838
31842,31.841854,0.0463589579,0.0617828369
31843,31.842861,0.0385057293,0.0564107895
31844,31.843858,0.0306524113,0.0510387421
31845,31.844865,0.0227990169,0.045665741
31846,31.845859,0.0149455648,0.0349216461
31847,31.846866,0.00709207635,0.029548645
31848,31.847880,-0.000760555267,0.0188045502
31849,31.848856,-0.00861453265,0.00268650055
31850,31.849862,-0.0164684877,-0.0134305954
31851,31.850856,-0.0243224036,-0.029548645
31852,31.851862,-0.0321762599,-0.0402927399
31853,31.852855,-0.0400300361,-0.0510377884
31854,31.853863,-0.0478837192,-0.0564098358
31855,31.854856,-0.0557372756,-0.0564098358
31856,31.855862,-0.0635906979,-0.0617828369
31857,31.856855,-0.0714439675,-0.0617828369
31858,31.857861,-0.0792970508,-0.0510377884
31859,31.858868,-0.0871499479,-0.045665741
31860,31.859867,-0.0950026214,-0.0402927399
31861,31.860860,-0.102855071,-0.0402927399
31862,31.861866,-0.110707268,-0.0402927399
31863,31.862859,-0.118559182,-0.0402927399
31864,31.863868,-0.126410812,-0.045665741
31865,31.864861,-0.134262115,-0.0510377884
31866,31.865867,-0.142113104,-0.0617828369
31867,31.866860,-0.149963737,-0.0725278854
31868,31.867866,-0.157813996,-0.0886449814
31869,31.868865,-0.165663838,-0.0940170288
31870,31.869863,-0.173513293,-0.0993890762
31871,31.870856,-0.181362331,-0.110134125
31872,31.871862,-0.189210907,-0.115507126
31873,31.872855,-0.197059005,-0.115507126
31874,31.873863,-0.204906628,-0.110134125
31875,31.874857,-0.212753743,-0.110134125
31876,31.875863,-0.220600352,-0.104762077
31877,31.876856,-0.228446409,-0.0993890762
31878,31.877862,-0.236291885,-0.0940170288
31879,31.878866,-0.244136781,-0.0940170288
31880,31.879865,-0.25198108,-0.0940170288
31881,31.880858,-0.259824753,-0.0993890762
31882,31.881863,-0.2676678,-0.104762077
31883,31.882857,-0.275510192,-0.115507126
31884,31.883867,-0.283351898,-0.126251221
31885,31.884854,-0.291192889,-0.136996269
31886,31.885868,-0.299033165,-0.153113365
31887,31.886855,-0.306872696,-0.163858414
31888,31.887861,-0.314711511,-0.174603462
31889,31.888855,-0.322549522,-0.17997551
31890,31.889866,-0.330386758,-0.17997551
31891,31.890865,-0.338223219,-0.17997551
31892,31.891860,-0.346058756,-0.174603462
31893,31.892867,-0.353893489,-0.169230461
31894,31.893865,-0.361727357,-0.169230461
31895,31.894864,-0.369560301,-0.163858414
31896,31.895858,-0.377392352,-0.158486366
31897,31.896865,-0.385223478,-0.153113365
31898,31.897859,-0.393053651,-0.153113365
31899,31.898865,-0.40088284,-0.153113365
31900,31.899860,-0.408711076,-0.147741318
31901,31.900863,-0.416538268,-0.147741318
31902,31.901862,-0.424364448,-0.153113365
31903,31.902856,-0.432189554,-0.158486366
31904,31.903866,-0.440013647,-0.163858414
31905,31.904860,-0.447836578,-0.163858414
31906,31.905866,-0.455658466,-0.174603462
31907,31.906860,-0.463479221,-0.190720558
31908,31.907867,-0.471298814,-0.201465607
31909,31.908854,-0.479117274,-0.217582703
31910,31.909860,-0.486934513,-0.228326797
31911,31.910864,-0.494750589,-0.244444847
31912,31.911863,-0.502565384,-0.260561943
31913,31.912857,-0.510379016,-0.271306038
31914,31.913865,-0.518191338,-0.282051086
31915,31.914857,-0.526002407,-0.287424088
31916,31.915863,-0.533812165,-0.287424088
31917,31.916907,-0.541620612,-0.287424088
31918,31.917946,-0.549427688,-0.287424088
31919,31.919029,-0.557233453,-0.287424088
31920,31.919906,-0.565037847,-0.282051086
31921,31.920940,-0.57284081,-0.276679039
31922,31.921883,-0.580642343,-0.282051086
31923,31.922940,-0.588442504,-0.276679039
31924,31.923861,-0.596241176,-0.276679039
31925,31.924867,-0.604038358,-0.276679039
31926,31.925860,-0.611834109,-0.276679039
31927,31.926866,-0.61962831,-0.276679039
31928,31.927859,-0.627421021,-0.276679039
31929,31.928864,-0.635212064,-0.276679039
31930,31.929857,-0.643001556,-0.282051086
31931,31.930863,-0.650789499,-0.287424088
31932,31.931864,-0.658575892,-0.298168182
31933,31.932862,-0.666360557,-0.314285278
31934,31.933858,-0.674143672,-0.335775375
31935,31.934863,-0.681925058,-0.346520424
31936,31.935857,-0.689704776,-0.36263752
31937,31.936862,-0.697482824,-0.378754616
31938,31.937856,-0.705259144,-0.384126663
31939,31.938861,-0.713033676,-0.389499664
31940,31.939855,-0.720806479,-0.394871712
31941,31.940860,-0.728577495,-0.400243759
31942,31.941868,-0.736346722,-0.400243759
31943,31.942866,-0.744114161,-0.400243759
31944,31.943855,-0.751879692,-0.394871712
31945,31.944860,-0.759643376,-0.400243759
31946,31.945853,-0.767405272,-0.40561676
31947,31.946867,-0.7751652,-0.410988808
31948,31.947861,-0.782923222,-0.416361809
31949,31.948868,-0.790679336,-0.421733856
31950,31.949854,-0.798433483,-0.421733856
31951,31.950860,-0.806185663,-0.427105904
31952,31.951906,-0.813935876,-0.432478905
31953,31.952867,-0.821684062,-0.443223
31954,31.953870,-0.829430223,-0.453968048
31955,31.954856,-0.837174356,-0.464713097
31956,31.955863,-0.844916403,-0.480830193
31957,31.956857,-0.852656364,-0.496947289
31958,31.957864,-0.86039418,-0.507692337
31959,31.958858,-0.868129969,-0.523809433
31960,31.959864,-0.875863492,-0.534554482
31961,31.960859,-0.88359499,-0.550671577
31962,31.961865,-0.891324222,-0.561416626
31963,31.962866,-0.899051309,-0.577533722
31964,31.963868,-0.90677613,-0.58827877
31965,31.964855,-0.914498687,-0.604395866
31966,31.965861,-0.922219038,-0.62588501
31967,31.966855,-0.929937065,-0.642002106
31968,31.967861,-0.937652886,-0.658119202
31969,31.968856,-0.945366323,-0.674237251
31970,31.969862,-0.953077435,-0.690354347
31971,31.970856,-0.960786223,-0.711843491
31972,31.971863,-0.968492627,-0.727960587
31973,31.972882,-0.976196587,-0.733333588
31974,31.973863,-0.983898163,-0.749450684
31975,31.974863,-0.991597414,-0.760195732
31976,31.975857,-0.999294162,-0.770939827
31977,31.976863,-1.00698841,-0.776312828
31978,31.977857,-1.01468015,-0.776312828
